category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievanceswithgoodrating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airline,Aeroflot,"Flight Delays",11,11,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0
Airline,Aeroflot,Maintenance,3,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,Aeroflot,Other,14,14,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,5,14,14,0,0,0
Airline,Aeroflot,"Person With Disability",5,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
Airline,Aeroflot,"Ticketing, Fares &amp; Refunds",1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,Aerologic,Baggage,6,6,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
Airline,Aerologic,"Flight Delays",7,7,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
Airline,Aerologic,"Person With Disability",2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,Aerologic,"Ticketing, Fares &amp; Refunds",4,4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Airline,"Air Arabia",Cleanliness,4,4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Airline,"Air Arabia","Flight Delays",2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Air Arabia",Maintenance,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Arabia",Meal,3,3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,"Air Arabia",Other,2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Air Arabia","Staff / Crew Behavior",4,4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Airline,"Air Astana",Baggage,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Astana","Check-in &amp; Boarding",1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Astana","Staff / Crew Behavior",2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Air Astana","Ticketing, Fares &amp; Refunds",1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Austral","Flight Delays",2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Air Austral",Maintenance,2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Air Austral",Meal,66,65,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,66,66,0,0,0
Airline,"Air Austral",Other,2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Airline,"Air Austral","Person With Disability",3,3,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Airline,"Air Canada",Baggage,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Canada",Cleanliness,15,14,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,15,15,0,0,0
Airline,"Air Canada",Meal,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Canada",Other,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air China",Cleanliness,14,14,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0
Airline,"Air Costa","Flight Delays",1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Costa",Meal,14,14,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0
Airline,"Air France (AF)",Cleanliness,140,1,NA,NA,NA,13,24,23,5,1,0,1,2,1,1,0,15,140,134,6,3,3
Airline,"Air France (AF)",Maintenance,17,1,NA,NA,NA,0,0,3,3,2,0,0,1,0,0,0,1,17,15,2,1,1
Airline,"Air France (AF)",Meal,20,0,NA,NA,NA,1,1,2,2,0,0,2,0,0,0,0,3,20,18,2,0,2
Airline,"Air France (AF)",Other,35,0,NA,NA,NA,5,5,16,2,1,1,0,0,0,0,0,2,35,33,2,1,1
Airline,"Air France (AF)","Ticketing, Fares &amp; Refunds",18,2,NA,NA,NA,0,0,4,1,0,0,1,0,0,2,0,1,18,16,2,1,1
Airline,"Air France (AF)","Check-in &amp; Boarding",16,0,NA,NA,NA,0,0,2,1,1,0,0,0,0,0,0,0,16,15,1,1,0
Airline,"Air France (AF)","Person With Disability",8,0,NA,NA,NA,0,2,2,1,1,0,0,0,0,0,0,1,8,7,1,1,0
Airline,"Air France (AF)",Baggage,18,0,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0
Airline,"Air France (AF)","Flight Delays",6,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
Airline,"Air France (AF)","Staff / Crew Behavior",13,1,NA,NA,NA,4,3,3,0,0,0,0,0,0,0,0,0,13,13,0,0,0
Airline,"Air France (IN)",Cleanliness,2,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
